Canton_ID,Nombre,Provincia_ID
101,San Jose,1
102,Escazu,1
103,Desamparados,1
104,Puriscal,1
105,Tarrazu,1
106,Aserri,1
107,Mora,1
108,Goicoechea,1
109,Santa Ana,1
110,Alajuelita,1
111,Vazquez de Coronado,1
112,Acosta,1
113,Tibas,1
114,Moravia,1
115,Montes de Oca,1
116,Turrubares,1
117,Dota,1
118,Curridabat,1
119,Perez Zeledon,1
120,Leon Cortes Castro,1
201,Alajuela,2
202,San Ramon,2
203,Grecia,2
204,San Mateo,2
205,Atenas,2
206,Naranjo,2
207,Palmares,2
208,Poas,2
209,Orotina,2
210,San Carlos,2
211,Zarcero,2
212,Sarchi,2
213,Upala,2
214,Los Chiles,2
215,Guatuso,2
216,Rio Cuarto,2
301,Cartago,3
302,Paraiso,3
303,La Union,3
304,Jiminez,3
305,Turrialba,3
306,Alvarado,3
307,Oreamuno,3
308,El Guarco,3
401,Heredia,4
402,Barva,4
403,Santo Domingo,4
404,Santa Barbara,4
405,San Rafael,4
406,San Isidro,4
407,Belen,4
408,Flores,4
409,San Pablo,4
410,Sarapiqui,4
501,Liberia,5
502,Nicoya,5
503,Santa Cruz,5
504,Bagaces,5
505,Carrillo,5
506,Canas,5
507,Abangares,5
508,Tilaran,5
509,Nandayure,5
510,La Cruz,5
511,Hojancha,5
601,Puntarenas,6
602,Esparza,6
603,Buenos Aires,6
604,Montes de Oro,6
605,Osa,6
606,Quepos,6
607,Golfito,6
608,Coto Brus,6
609,Parrita,6
610,Corredores,6
611,Garabito,6
612,Monteverde,6
701,Limon,7
702,Pococi,7
703,Siquirres,7
704,Talamanca,7
705,Matina,7
706,Guacimo,7
